va_loss,va_acc,va_precision,va_recall,va_specificity,va_f1,va_auc,va_mcc,te_loss,te_acc,te_precision,te_recall,te_specificity,te_f1,te_auc,te_mcc
0.29346418380737305,0.8964262008666992,0.913036048412323,0.877936601638794,0.9151808023452759,0.8951423764228821,0.9566824436187744,0.7934935688972473,0.28548532724380493,0.8961780071258545,0.9081405401229858,0.8805251121520996,0.9116968512535095,0.8941196203231812,0.9580856561660767,0.7926886677742004
0.2735418975353241,0.8988252878189087,0.8973543047904968,0.8978053331375122,0.8998202085494995,0.8975797891616821,0.9594401121139526,0.7976207137107849,0.2837927043437958,0.8940271139144897,0.8975206613540649,0.8914792537689209,0.8966149687767029,0.8944897651672363,0.9576869606971741,0.7880707383155823
0.28228798508644104,0.8965089321136475,0.9020100235939026,0.8899355530738831,0.9030975699424744,0.895932137966156,0.9574604034423828,0.7930919528007507,0.3035455346107483,0.8864162564277649,0.8927196860313416,0.8793274164199829,0.8935569524765015,0.8859729170799255,0.9533771872520447,0.7729295492172241
0.2866555452346802,0.892207145690918,0.8945807814598083,0.8912044763565063,0.8932265639305115,0.8928894400596619,0.9580002427101135,0.7844120264053345,0.2952556014060974,0.8922898769378662,0.897826075553894,0.8859735727310181,0.8986396789550781,0.8918604850769043,0.9548282027244568,0.7846544981002808
0.28192853927612305,0.8960126042366028,0.9032908082008362,0.8876423239707947,0.904430091381073,0.8953981995582581,0.9580737352371216,0.7921531796455383,0.2814299166202545,0.897998034954071,0.9004321694374084,0.8952239155769348,0.9007785320281982,0.8978204727172852,0.9587609767913818,0.796010434627533
0.2719810903072357,0.9008934497833252,0.9034448266029358,0.8986820578575134,0.9031239748001099,0.9010571241378784,0.9614511132240295,0.8017989993095398,0.2954365015029907,0.8945235013961792,0.8989290595054626,0.88896244764328,0.9000827074050903,0.893917977809906,0.9561811089515686,0.7890950441360474
0.27998587489128113,0.8981634974479675,0.8970015048980713,0.8947279453277588,0.9014586806297302,0.8958632946014404,0.9592912197113037,0.7962303161621094,0.28571009635925293,0.8937789797782898,0.902349591255188,0.8858171105384827,0.9019246697425842,0.8940069079399109,0.9573768973350525,0.787710428237915
0.2860100567340851,0.8959298729896545,0.8954302668571472,0.8948333263397217,0.8970105051994324,0.8951317071914673,0.9576013088226318,0.791847825050354,0.2999069392681122,0.892207145690918,0.8943997621536255,0.8919095993041992,0.8925108909606934,0.8931529521942139,0.9541696906089783,0.7844009399414062
0.2819940745830536,0.8989907503128052,0.9066643714904785,0.8880932331085205,0.9097484946250916,0.8972827196121216,0.957962691783905,0.7981119155883789,0.27742999792099,0.897998034954071,0.9017243981361389,0.89290452003479,0.9030713438987732,0.8972927927970886,0.959425151348114,0.7960292100906372
0.28310489654541016,0.8962607383728027,0.8984110951423645,0.8905830979347229,0.9017974138259888,0.8944799900054932,0.9575616717338562,0.792495608329773,0.28525200486183167,0.8971707224845886,0.8995625972747803,0.8922075629234314,0.9020508527755737,0.8958699703216553,0.9567849040031433,0.7943388819694519
